GRBname,breaknum,slopes,slopes_err,breaks,breaks_err,normal,normal_err,fluence,chisq,rchisq,n,npar,dof,deltaAIC,BIC,flare_count,Trig_ID,T90,T90_err,redshift,redshift_err,conversion,conversion_bat,bat_conversion_rchisq,dimple,pulse_count,total_flare_fluence,total_pulse_fluence
GRB190519A,4,"[0.15036268285842622, 4.3808445965490925, 0.4954648705600472, 1.4972928869445437, 1.2236748570085363]","[0.7181769890547668, 1.9963708634645196, 0.0640280189527721, 0.6107714132244408, 0.306812049859377]","[127.8568177180518, 159.89069429812687, 5674.961815750837, 25127.962646923523]","[0.028734770229635748, 0.03608382165894454, 0.3570876771689119, 0.49676837231182913]",33.383600191506474,110.89959315737966,"(17009.70477820969, [850.7702693575427, 322.8998075503585, 9683.21517393543, 6152.819527366358])",117.8575333113849,1.1332455126094705,114,10,104,34.259764222845405,189.3940954685348,0,904394.0,44.48,2.585869,,,4.91e-11,4.5270986619721195e-07,0.66299,4.0,3,0.0,3.7687262058669663e-06
GRB190604B,3,"[1.4725032060493992, 5.99999999999905, 0.6293084238975142, 1.2354574062225112]","[0.07249739773085571, 0.36987621277963556, 0.12860546512809412, 0.10380166271380739]","[260.91017196639467, 468.6755810253205, 9400.356755857756]","[0.0326004528702972, 0.01580734633454737, 0.21711656167235288]",451151.2552978257,91641.00144434664,"(52269.10083347984, [36534.843814543725, 6161.519529497741, 9572.737489438372])",855.5520856332685,5.123066381037535,175,8,167,301.90680340726936,1219.6416022071148,2,906654.0,220.176,4.721114,,,3.6499999999999997e-11,4.532351233959214e-07,0.59402,2.0,26,1.942147527639305e-06,2.9246825194545436e-06
GRB190511A,1,"[1.5027392680916887, 1.0876749195304911]","[0.2110279414398337, 0.04616288833529694]",[233.98085880684454],[0.03553668399568152],33110.23257583546,36116.54739411672,"(1848.090632772024, [1848.090632772024])",38.06915861945546,0.6452399766009399,63,4,59,-19.602377402110186,187.84373470669684,0,903158.0,27.664,2.354176,,,3.25e-11,4.497060549606258e-07,0.92355,4.0,6,0.0,1.0121089738563648e-06
GRB190324A,2,"[1.0876765677028464, 1.7258792662325844, 0.7557827702584174]","[0.1463130332851003, 0.12363186443393367, 0.7918227487367446]","[9580.414301184886, 56116.93476039474]","[0.0248955955569697, 0.3980217936635835]",16229.13545383287,20520.106034652286,"(15294.382834447537, [8060.070477053438, 7234.312357394099])",89.77564817657705,0.9975072019619672,96,6,90,11.76039261771019,-81.19293243849181,0,894718.0,22.784,10.14973,1.1715,,3.28e-11,4.879478219210817e-07,0.72356,4.0,2,0.0,1.6574230750000917e-06
GRB190422A,3,"[1.9263262206056064, -0.3, 0.5503416033004128, 1.2109136727142664]","[0.7575437278765289, nan, 0.18949934073130636, 0.21250067742750225]","[1010.1140687000117, 4244.413745562893, 19383.895461773587]","[0.05913706644271831, nan, 0.027572612585889836]",267481.0494752422,1338087.003197562,"(8400.938640731965, [339.96416666465325, 1852.7198481507662, 6208.254625916546])",70.66149220639116,1.0546491374088234,75,8,67,19.990610532812585,-168.3447281751253,0,899979.0,269.016,50.72131,,,5.46e-11,4.574727239136724e-07,0.93626,4.0,8,0.0,4.578831245480275e-07
GRB190627A,1,"[0.3492907535831981, 1.6384693869552536]","[0.09526805600902531, 0.3880884980779121]",[37605.64723516957],[0.13129600118811313],5.521069571376007,4.832716124714581,"(6360.835404381374, [6360.835404381374])",50.86102826803491,1.4959125961186737,38,4,34,23.303985206062293,-118.79479180242912,0,911609.0,2.692,0.8809541,1.942,,3.49e-11,6.407255660958125e-10,1.08446,1.0,1,0.0,3.08380496042854e-11
GRB190515B,4,"[2.266081720584617, 4.00707120358876, 0.38122992581611387, 0.6145518492746421, 1.2213777819518972]","[0.146633936635469, 0.34581857725411, 0.235633316666909, nan, nan]","[82.485824213909, 284.86286552692087, 1763.3468286815387, 25322.699529189693]","[0.044987338617062916, 0.056831934635288885, nan, nan]",804109.4992959355,495640.4023138395,"(2638.2742009851136, [373.4603692426514, 977.909758821244, 244.87800709240332, 1042.0260658288148])",41.13259941988852,1.7138583091620216,34,10,24,38.317403099724174,104.69973153654956,1,903845.0,46.512,9.644513,,,3.33e-11,5.29490960116391e-07,0.67225,3.0,2,4.739678899486502e-08,1.5439240936938156e-07
GRB191004A,1,"[0.6831778364141946, 1.3824490684394275]","[0.07943560554108627, 0.08731682430962168]",[865.8760364250128],[0.0240812261251383],178.80535965663938,77.58498449629019,"(2650.156642494896, [2650.156642494896])",28.69170406564878,0.5123518583151567,60,4,56,-32.12462000203725,27.68431025978598,0,927825.0,2.444,0.0823651,,,3.5399999999999995e-11,4.436690103128231e-07,1.61086,1.0,2,0.0,2.492898986134009e-07
GRB190706B,2,"[2.8758796681766716, 0.5106164388329922, 1.438982207705298]","[0.29343434723687994, 0.1426956718541895, 0.4069568944128734]","[267.7207994835568, 6999.818979115005]","[0.07481320392593752, 0.027217830696113547]",3170626.38307392,4434307.611514453,"(1117.583090156273, [404.9570664091293, 712.6260237471438])",67.97380721510942,3.236847962624258,27,6,21,43.71420014136197,-3.823075705154878,0,913302.0,43.584,14.79785,,,3.8099999999999996e-11,6.511631065777362e-10,1.67094,3.0,1,0.0,7.894467717029201e-11
GRB191011A,1,"[0.3451919445793793, 1.3191001565274003]","[0.16076300401834245, 0.1278359493111081]",[878.7189504522536],[0.01677720833481747],5.225295028155935,5.161011889828644,"(553.1486532993779, [553.1486532993779])",28.62210869629996,1.1925878623458317,28,4,24,12.93151736510126,-61.34696769307893,0,928924.0,7.352,0.9371702,1.722,,3.46e-11,4.5663275078377166e-07,0.94154,1.0,2,0.0,6.77452733172135e-08
GRB190824A,1,"[0.3289315412082629, 1.02411787448613]","[0.3942101318200383, 0.16097835569609997]",[4834.047302756475],[0.40923853819677986],5.209237447737785,14.277304505953,"(1771.763336437927, [1771.763336437927])",37.16617696513397,1.2388725655044657,34,4,30,15.28285931834189,-91.19215634040314,0,922107.0,169.36,5.85471,,,4.5599999999999996e-11,4.51107093416757e-07,0.6754,4.0,4,0.0,8.053023043892895e-07
GRB190630B,1,"[3.6015088760754326, -0.10303142041775588]","[0.9894594998974426, nan]",[259.217504029993],[nan],11688676.090674182,47422158.59297962,"(148.06510733828296, [148.06510733828296])",1.6572012965281129,1.6572012965281129,5,4,1,10.5256510679074,4.953687703571043,0,912102.0,5.568,0.9029042,,,2.87e-11,,,3.0,1,0.0,
GRB190828B,5,"[0.3855314320957153, 2.2099338317614734, -0.2791013698068901, 0.9799039434212382, 0.9312113446684236, 1.549368569218891]","[1.8396737760368789, 0.16099260138247018, 0.8163003779315099, 0.6392985927205653, 0.1102595017583354, 0.9591919065095571]","[58.570727621431445, 270.6434001468422, 1064.8817721990188, 1737.4677296839407, 31268.580153133513]","[0.08149972932328478, 0.12977179234816968, 0.1586186307861723, 0.13003482792655807, 0.6187408617394503]",252.6978231364282,1813.6033253189655,"(15001.577593712625, [673.3656356673375, 2147.2473946292594, 1802.409348757108, 1372.1866829652404, 9006.36853169368])",105.4085882842415,0.9851269933106682,119,12,107,22.216818450722062,283.9533291541196,0,922808.0,715.856,451.9719,,,3.45e-11,4.546800652018657e-07,0.9661,3.0,4,0.0,5.754645219642741e-07
GRB190611A,0,[1.019860546467795],[0.13748931228185568],[],[],192.16272383039663,163.47519060078628,"(0.0, [])",10.966029879924022,1.0966029879924022,12,2,10,5.106606505154459,-23.12655503207638,0,907950.0,41.76,30.62172,,,4.62e-11,1.158900553621256e-07,3.77608,3.0,1,0.0,9.907937134194305e-09
GRB191004B,1,"[2.30095831160672, 1.0608103114303915]","[0.24419045699067066, 0.042664730161976076]",[102.06357885805896],[0.04780307648981269],589857.744585007,608570.2260225358,"(1749.7860827509958, [1749.7860827509958])",52.77264093933702,0.8118867836821081,69,4,65,-6.379212047810611,274.03910515493345,0,927839.0,300.128,81.82884,3.503,,4.09e-11,4.49626033006745e-07,0.61688,4.0,3,0.0,4.1297201713839315e-07
GRB190613A,3,"[1.5766531952173564, 6.0, 1.7678594419888916, 0.443111727578103]","[0.44670662660543803, 1.5810660719223197, 0.38585177680336336, 0.4791224775898204]","[224.30390171161247, 309.092645164649, 3211.4240873953454]","[0.02551873194766719, 0.04682802902901987, 0.2936686013980493]",51892.53475195023,119149.39416743956,"(2346.6906467699796, [1480.8280381900672, 365.5333232698971, 500.3292853100151])",95.2640819853303,2.1169795996740066,53,8,45,55.74948885075155,189.8037800581669,0,908288.0,17.632,3.113922,,,3.49e-11,5.121450769054824e-07,1.39444,3.0,0,0.0,0.0
GRB190701A,4,"[1.4947845843654441, 6.0, 0.3901114604959798, 2.0720951850832443, 3.994044494657398]","[nan, nan, 0.1080252549067579, 25.1311065425689, 41.88919822927992]","[143.59920988570698, 280.6360708626177, 21509.868923043996, 25307.642915913722]","[nan, nan, 1.7057562377594202, 0.6110070365465434]",17732.711640888676,,"(1729.6375888781379, [179.91343538274293, 293.07015547145625, 1144.5484217485566, 112.10557627538188])",46.13623264943342,4.6136232649433415,20,10,10,50.58027011987829,2.624320939322846,0,912310.0,52.432,4.017561,,,4.63e-11,4.565404744499804e-07,0.66513,3.0,1,0.0,4.822245620262139e-08
GRB190821A,2,"[2.7926906637089823, -0.3, 1.2345091850514067]","[0.16025503552582626, nan, 0.15186309588920371]","[215.5148238664273, 1407.7250993518437]","[0.033918760322091554, nan]",3182728.799383253,2459143.0044962848,"(2138.0880881055555, [457.00662454575865, 1681.081463559797])",103.8982219642723,3.3515555472345904,37,6,31,56.74870947929416,37.28659948343112,1,921722.0,57.096,2.596151,,,4.53e-11,4.551502607893271e-07,1.63697,4.0,6,1.2425634157820935e-07,4.059175600635723e-07
GRB190630C,3,"[1.1009775430878042, 5.999999999910509, 2.92220290605956, 0.9309868567409331]","[0.6859226108986084, 0.9135549051288028, 0.6237836579660486, 0.3389639756109116]","[154.21287390864734, 198.70298343722308, 479.37281870411175]","[0.016978356081338478, 0.006390369441853367, 0.24751618054329066]",8251.827279947018,27969.61587283032,"(1880.4303181957052, [574.5287981748533, 712.8786024254993, 593.0229175953529])",37.858989828278055,1.5774579095115857,32,8,24,30.58606826590881,146.04969694880475,0,912239.0,38.384,9.308885,,,2.34e-11,4.552843680798778e-07,1.06378,4.0,1,0.0,3.899987228205474e-07
