GRBname,breaknum,slopes,slopes_err,breaks,breaks_err,normal,normal_err,fluence,chisq,rchisq,n,npar,dof,deltaAIC,BIC,flare_count,Trig_ID,T90,T90_err,redshift,redshift_err,conversion,conversion_bat,bat_conversion_rchisq,dimple,pulse_count,total_flare_fluence,total_pulse_fluence
GRB050525A,1,"[0.3995701222544333, 1.4336536541107066]","[nan, 0.185226866697818]",[2756.6625705955516],[nan],43.30439775794523,,"(7383.385745901902, [7383.385745901902])",17.39959152534451,0.8285519773973575,25,4,21,3.2981073166647965,-61.70025907580688,0,130088.0,8.836,0.0708802,0.606,,3.5399999999999995e-11,4.72670127618428e-07,1.18253,,8,0.0,4.391103571107183e-06
GRB050421A,2,"[0.6492403808782339, 2.7228206944409923, 5.038422334900983]","[1.5756756520568969, 0.7261288132956372, 1.2082283994007978]","[152.64899563977127, 333.92274257236585]","[0.007787965011199014, 0.13549474406847778]",248.37631347163327,1928.3798486232336,"(978.6977104025977, [355.9938208941599, 622.7038895084379])",19.449473145713736,1.3892480818366957,20,6,14,18.57525304916696,73.10869150071443,0,115135.0,8.408,3.387106,,,6.46e-11,5.454978576134571e-07,0.67901,1.0,0,0.0,0.0
GRB050319A,3,"[0.6036580927695901, 4.747822686922716, 0.5211872621154011, 1.1513750549938513]","[1.5687526552551394, 1.7109429487333618, 0.04781563045202493, 0.27454886082714686]","[279.35454465985276, 386.28768017995674, 25613.50897964937]","[nan, 0.04693398170319853, 0.15144515206964432]",221.83152080677235,2112.143833398816,"(8889.477008371206, [232.7298613981344, 388.00072494937683, 8268.746422023694])",87.31116845478601,1.0152461448230932,94,8,86,17.422322488998926,-181.01705951801463,0,111622.0,151.584,10.64419,3.2425,,3.16e-11,5.102780338680602e-07,0.43114,3.0,4,0.0,1.9229411868778746e-07
GRB050412A,0,[1.6929791714308895],[0.3807951322959092],[],[],11137.960428255648,22344.007992598483,"(0.0, [])",36.92634529321049,4.615793161651311,10,2,8,19.29483719200829,38.52747023446384,0,114485.0,27.572,3.504715,,,4.24e-11,3.4623677953634e-07,0.75477,4.0,0,0.0,0.0
GRB050416A,4,"[1.2496772856465572, 0.020690873985717794, 0.7755721268636604, 0.9151703869541151, -0.3]","[0.4902047693006215, 0.5396902705844415, 0.07889527645563958, 0.08274138960702651, 0.3607426693025029]","[340.7147628960598, 844.0937041946135, 11867.849657376099, 214167.52861880054]","[0.20572778243712447, 0.02858151937387937, 0.0718319027189503, 0.1291847864784903]",844.4028640627283,2115.604365353602,"(5173.501313259259, [317.1229106700888, 287.8029824018374, 1727.5737405022082, 2841.001679685125])",69.38462708399558,0.9504743436163778,83,10,73,15.784088875729148,-354.16671425513243,0,114753.0,6.668,3.422086,0.6528,,3.6899999999999997e-11,4.996184526672797e-07,0.43022,1.0,1,0.0,1.3898516088540343e-07
GRB050219B,0,[1.1058670708618004],[0.18145024073869662],[],[],11975.531266548547,22667.354266243176,"(0.0, [])",11.82270301951554,0.8444787871082529,16,2,14,1.2954294091694494,-69.86399252189504,0,106442.0,28.72,7.120288,,,3.37e-11,5.821462047138802e-07,0.90607,4.0,2,0.0,3.2425031722096038e-06
GRB050505A,2,"[-0.012859725539315333, 1.1511706724353947, 1.7511040298364757]","[nan, 0.08553256993926084, 0.16573021712868008]","[6432.310260473325, 43481.9411921868]","[0.01159628728591644, 0.025691069407171432]",0.623694221847161,,"(9921.235155923463, [2467.835241698792, 7453.39991422467])",149.4769923283291,0.8304277351573839,186,6,180,-22.561472331242317,-694.988975252943,0,117504.0,58.852,6.839795,4.2748,,3.25e-11,2.3784896295314137e-10,1.0749,4.0,3,0.0,9.981147819232411e-11
GRB050401A,4,"[0.7160623916415242, 0.5280102826464498, 5.99999999995725, -0.29999999997360033, 1.2796217753337027]","[0.05257178124075925, 0.05276052278956478, 6.714685251435485, nan, 0.28219496953622]","[412.268033255966, 1943.9463242854927, 2181.143649966605, 4147.143917620698]","[0.03398288812129735, 0.009121848019276582, 0.1050822301796091, 0.22359734801840386]",528.3915861395024,155.8444963493143,"(13443.462455074932, [2804.0354692591054, 6678.144162305918, 531.565200027623, 3429.7176234822864])",308.97799084958115,1.1443629290725228,280,10,270,57.75746473480704,823.0553551191207,1,113120.0,32.092,0.5774426,2.8983,,3.8099999999999996e-11,5.663180532890947e-07,1.22449,4.0,2,2.5736854130604517e-08,1.6661472520791759e-06
GRB050128A,2,"[0.44008054448466344, 1.0139019142229584, 1.6251465414015167]","[0.4700105354570998, 0.039646364903260047, 0.1797944553575968]","[371.5175272708578, 21967.62252381534]","[0.14546522331596198, 0.03775346073302417]",123.58603081624692,333.04129585116027,"(14738.995943749971, [1270.323970950999, 13468.671972798973])",86.80753563168636,0.8112853797353866,113,6,107,-11.632300259962584,-147.23051250110592,0,103906.0,28.0,9.055385,,,3.5399999999999995e-11,5.680628409087481e-07,0.28741,4.0,2,0.0,9.722136483550982e-07
GRB050422A,2,"[2.567869323617332, 5.999999999999889, 1.5966409638736438]","[0.8808298564649356, 2.7516277584755526, 0.4929404084208413]","[131.61725276343765, 194.55885357191522]","[0.05360679211146531, 0.1001825106754374]",1473767.7049420823,6164275.231074074,"(208.73938471161335, [88.42912980616686, 120.3102549054465])",3.423944753075613,1.7119723765378063,8,6,2,16.301169139115977,4.300925472938225,0,115214.0,80.0,22.62742,,,4.96e-11,2.704560030996075e-07,0.23857,3.0,1,0.0,8.49226457987374e-09
GRB050126A,0,[1.3465954864004543],[0.24148350099063182],[],[],2453.882878543425,3473.5597411197814,"(0.0, [])",19.06463076778934,4.766157691947335,6,2,4,13.369242789900628,18.164259183125257,0,103780.0,48.0,22.62742,1.29,,2.86e-11,4.7557739711410646e-07,0.51667,3.0,1,0.0,1.2994839561908978e-08
GRB050326A,0,[1.815124906470135],[0.05944532415453602],[],[],3733606.1798355207,1899529.980111968,"(0.0, [])",18.78021665984385,1.5650180549869877,14,2,12,10.270563049218556,-42.49050283355452,1,112453.0,29.44,1.134711,,,3.62e-11,4.666103369089662e-07,1.58837,4.0,4,9.23778742746183e-09,1.9416832563413295e-06
GRB050124A,0,[1.598937200268528],[0.2731927949671023],[],[],745748.8786877698,2092405.682271693,"(0.0, [])",8.27649687314705,0.7524088066497318,13,2,11,0.3018188005690785,-77.47888015664861,0,103647.0,3.936,2.011714,,,3.4e-11,3.8499804227759857e-10,0.42663,1.0,1,0.0,2.149003753164797e-10
GRB041223A,1,"[1.0663101507399881, 3.5072256116264473]","[nan, 0.9865952094270121]",[22388.466834018567],[0.013957426137107768],8314.671782084017,,"(1263.8387290237388, [1263.8387290237388])",10.423892626138317,0.4738133011881053,26,4,22,-11.420489769925284,-91.93413282495392,0,100585.0,109.06,1.803933,,,3.31e-11,,,2.0,0,0.0,0.0
GRB050219A,1,"[2.739747266980334, 0.7821618820034845]","[0.16752007249362907, 0.09694101017722309]",[339.4632386103847],[0.048418365525063095],6847795.301486348,5863069.333662169,"(886.8746638702977, [886.8746638702977])",57.96636558290072,1.380151561497636,46,4,42,22.820892734294542,52.776019186182985,0,106415.0,23.812,2.258173,0.2115,,3.46e-11,5.266910924946953e-07,0.90562,4.0,1,0.0,9.15887645510732e-07
GRB050318A,1,"[1.0404116877165779, 1.8751462808237318]","[0.16649015479928087, 0.13672875596802067]",[11396.11182072634],[0.021835467693096643],4463.278708051186,6585.087320602241,"(3861.8165175620284, [3861.8165175620284])",61.99415456559772,0.8610299245221905,76,4,72,-3.371577490797174,-273.3120604757686,0,111529.0,16.124,10.91679,1.4436,,3.28e-11,4.74636681905708e-07,1.50281,4.0,3,0.0,3.7061879792674933e-07
GRB050502B,2,"[0.6775082359666356, -0.3, 1.1052754468529142]","[0.07896773188708452, 0.3126414406529234, 0.5965836398145701]","[17955.49982005415, 40067.32515420899]","[0.012141635672173502, 0.11725973203560991]",16.092912240417064,11.637446508343547,"(1470.8091933936025, [934.7350264789525, 536.0741669146499])",20.21727956023064,1.2635799725144148,22,6,16,17.14687668604502,-129.0513859605257,2,116116.0,17.724,1.900999,5.2,+0.3-0.3,3.38e-11,4.649689129315505e-10,1.03076,1.0,1,3.08059716786226e-08,8.624496305460646e-11
GRB050315A,5,"[0.4908448093090274, 4.452862597536158, 6.0, -0.08886935109285925, 0.7142825100464327, 1.8191324371866822]","[nan, 0.5232634162472086, 0.7934970960120851, 0.16569509438972652, 0.035214987162954375, 0.4659259970068058]","[115.91166209773813, 316.7554632332086, 391.4760861543319, 6416.578426349123, 236161.55435254727]","[0.018217270391454345, nan, 0.11561916789013474, 0.022298352971595645, 0.04103623552887861]",950.8532536110988,,"(22992.80077788206, [2557.4831134045144, 3000.4265463254815, 43.41434159969745, 2118.601430198178, 15272.87534635419])",166.54359377989584,0.9201303523751152,193,12,181,7.934693198980121,-755.440158505027,0,111063.0,95.4,13.96338,1.95,,3.34e-11,5.179591395889437e-07,0.85813,4.0,4,0.0,5.548874878672281e-07
GRB050607A,0,[0.7583956862718275],[0.10264659187694436],[],[],24.64530937681289,21.03142334476782,"(0.0, [])",14.101238901137346,0.8813274313210842,18,2,16,1.726130859039387,-106.482958732512,2,132247.0,48.0,22.62742,,,3.42e-11,4.887312242071804e-07,0.20849,3.0,2,8.689729269050911e-08,7.747450878843218e-08
GRB050603A,0,[1.6102642631798556],[0.29938570102805834],[],[],1743353.5575317822,5831562.629947578,"(0.0, [])",51.17924600766823,1.1902150234341449,45,2,43,11.836029224293512,-294.5790993670651,0,131560.0,21.0,8.485281,2.821,,3.26e-11,5.136994335194849e-07,1.39714,4.0,3,0.0,1.6037582797270492e-06
GRB050801A,0,[1.1351579600905841],[0.08155964409585922],[],[],791.1644879277936,592.1171571857009,"(0.0, [])",14.233206709997416,1.4233206709997417,12,2,10,8.23591170735691,-84.23477606532215,0,148522.0,19.568,5.937695,1.38,+0.07-0.07,3.62e-11,3.9037109946589636e-10,0.34147,1.0,1,0.0,4.3295184937818734e-11
GRB050802A,2,"[0.18912967635268133, 0.7914532764903831, 1.7257492080043042]","[nan, 0.09199286548138624, 0.10846053225181071]","[1317.8334010723752, 9109.947293801057]","[nan, 0.0751233656081369]",8.23396362859181,,"(7857.657477632232, [1216.8706475937447, 6640.786830038487])",115.74484150661952,0.8835484084474773,137,6,131,-4.961859995224671,-313.4488722063741,1,148646.0,27.456,8.164955,1.7102,,3.5499999999999994e-11,5.563988334624042e-07,0.9719,4.0,2,2.6225776987981427e-08,2.6194665815904244e-07
GRB050815A,1,"[0.11280304594753529, 1.9548638800925375]","[0.17617730953472543, 0.4341149191285475]",[3711.4657756215524],[0.09652896008771578],0.369828383493939,0.4709076461294788,"(582.1251621622076, [582.1251621622076])",2.9123634994289973,0.2912363499428997,14,4,10,-9.270681992891152,-70.29879751918374,0,150532.0,2.992,0.614752,,,5.03e-11,6.928272330957294e-07,1.32203,1.0,1,0.0,3.897291824933951e-08
GRB050824A,0,[0.3739239301634606],[0.12422046558403618],[],[],1.3646168820866984,1.759734073707132,"(0.0, [])",30.432756459704677,1.1704906330655644,28,2,26,8.40784415147482,-183.67075095620623,0,151905.0,25.008,5.553665,0.8278,,3.44e-11,4.847001751154989e-10,0.70295,3.0,0,0.0,0.0
GRB050820B,0,[1.3775507569580085],[0.6835295572642963],[],[],4595.3705040027735,25472.029144641037,"(0.0, [])",7.13607579758956,1.78401894939739,6,2,4,7.473211935765578,-25.54979150515679,0,151334.0,12.064,0.5189065,,,4.18e-11,3.970804232909386e-07,2.01351,4.0,3,0.0,4.2942670945874677e-07
GRB050826A,2,"[1.216778028123894, 1.1358639130782122, 0.390540006421027]","[0.36894568027975005, 0.10685477925131384, 0.6444989854203047]","[329.68591018074835, 12855.83681715705]","[0.045211668840964114, 0.36415424409400504]",885.9313958519452,1792.147971855104,"(1004.6131046892388, [277.149647136602, 727.4634575526367])",6.930879653676155,0.5331445887443196,19,6,13,0.0497102549071915,-77.72621047978122,0,152113.0,29.6,6.30981,0.296,,4.23e-11,5.464529158838292e-07,1.81418,3.0,0,0.0,0.0
GRB050814A,5,"[1.6546128781179565, 4.096217713451085, 1.1470298163939279, 4.445178260854531, 2.9605791189080177, 0.6005763899337906]","[0.0836486915474475, nan, 0.7526788242007243, nan, nan, 0.049997167885531185]","[187.44481634477225, 231.8382441902739, 298.0747010822793, 524.7862492182252, 949.0677883072764]","[nan, nan, nan, nan, nan]",287288.9404360069,122895.8940990018,"(5237.80972103137, [1196.0644378938377, 1454.922464466837, 1193.5780240933782, 1160.5129481097672, 232.73184646754996])",127.37403482875142,1.0272099582963825,136,12,124,27.651103397325105,207.1224252749868,1,150314.0,142.852,41.66076,5.3,+0.3-0.3,3.41e-11,5.205869261687726e-07,0.49734,3.0,0,4.1138933353158554e-09,0.0
GRB050717A,1,"[1.9620998248329575, 1.285084153544121]","[0.13008302566117114, 0.06392274595655907]",[339.4030787415203],[0.1145850237673331],277336.3315749038,181403.06429374023,"(2665.2397032911904, [2665.2397032911904])",79.47012159966224,0.8732980395567279,95,4,91,-4.870446521137295,215.0801247317768,0,146372.0,85.016,18.89675,,,4.86e-11,5.058220823095418e-07,1.43441,2.0,10,0.0,1.0714200476838391e-06
GRB050803A,1,"[2.4340884115196957, 0.9162760781587607]","[0.13349841998148199, 0.026527849113254783]",[335.4041723439989],[0.013716213390357068],4210058.829850555,3072648.424018475,"(1325.9126664092332, [1325.9126664092332])",285.22849838006795,4.017302794085464,75,4,71,112.29580480253918,221.39590092498185,1,148833.0,88.124,10.19719,3.5,+0.5-0.5,3.7e-11,4.965915505868493e-07,0.62466,4.0,3,1.4639282165845858e-07,1.0292171336567531e-07
GRB050822A,5,"[0.08262536564314037, 5.991639299254846, 2.0280765883195064, 0.3986003814906161, 1.3858304132901984, 0.4532305671755829]","[0.08558390998891541, 0.896673490279029, 0.36128417368695565, 0.09321299470881594, 0.6310135043179113, 0.41215720163793246]","[145.14395283353323, 227.86939043414355, 1004.6402405174651, 20506.72389101714, 37231.37632797023]","[0.01018941439006435, 0.07625433263943043, 0.00954223756883953, 0.11186235522748578, 0.13579385210338638]",174.26743495097307,71.85131812213501,"(12767.79476663513, [3888.1776084543753, 3005.084028539219, 1342.833887018654, 3277.186117537085, 1254.5131250857958])",212.1284810355592,1.537162906054777,150,12,138,88.4907672848557,220.5281404979349,2,151486.0,104.292,15.82051,1.434,,3.26e-11,4.552677394909937e-07,1.02985,3.0,4,1.9819828961029463e-07,3.237297426254463e-07
GRB050819A,3,"[2.076245195980442, 4.688023555017549, 2.189833414020729, -0.0005234761985207102]","[0.5883185073053192, 2.202119061256515, 0.8331421090861759, 0.40649240404897946]","[176.47315458094567, 282.59907893722107, 1516.2895854305325]","[0.06184991746683033, 0.1586684321403285, 0.27100874767054045]",249125.44309103076,743218.6942543428,"(512.412418193271, [178.065249500903, 212.57250242465744, 121.77466626771057])",13.925469040412814,1.1604557533677344,20,8,12,18.976256375822665,-11.864841221555611,0,151131.0,37.716,7.331198,2.5043,,3.0699999999999995e-11,4.773615889982611e-07,1.21255,3.0,0,0.0,0.0
GRB050827A,0,[1.1061452098070121],[0.43375355677784133],[],[],4637.067184680625,23112.9679908694,"(0.0, [])",19.02457052465405,0.9512285262327024,22,2,20,2.89997922487985,-179.82285135980996,0,152325.0,50.032,9.129024,,,4.58e-11,5.148410935357359e-07,0.97672,4.0,3,0.0,2.743025832800489e-07
GRB050713B,4,"[1.9020178988416077, 3.130872711977441, -0.09115539998294525, 0.8696631790720242, 1.112208438686759]","[0.9449796704120471, 0.195665803237674, 0.1220617420379983, 0.16092915554826803, 0.2525299572394057]","[159.3894535443196, 699.9971295785253, 9885.820068398567, 79145.75408332601]","[0.04977100374377065, 0.04602405894101126, 0.1179564802551995, 0.4044953315322565]",525512.4398819793,2479856.156514177,"(16638.636040762474, [657.4402863815776, 2434.484673660139, 3602.001839319248, 9944.709241401511])",152.356995100361,0.9829483554862,165,10,155,17.16221485160873,-107.18740761983052,0,145754.0,121.696,54.02341,,,4.4199999999999993e-11,5.387839044298473e-07,0.76758,3.0,0,0.0,0.0
GRB050701A,0,[1.1491219193674203],[0.5051954307715825],[],[],895.3067690354508,4265.868102742812,"(0.0, [])",0.7203886125954299,0.1800971531488574,6,2,4,-6.285553003898849,-48.87611229833473,0,143708.0,21.696,9.943782,,,7.379999999999998e-11,4.700909713165897e-07,1.08069,4.0,2,0.0,1.1922044513208537e-07
GRB050724A,4,"[1.6821194606618761, 5.386639682211609, 0.864809054019467, -0.2999999994892482, 2.632271348579587]","[0.09198465397010616, 0.20160890093150963, 0.17450392747019727, 0.1958660390508276, 1.185623132130716]","[201.67992147127126, 577.5561854478904, 7112.272775606534, 63855.35311981264]","[0.006281026756816077, 0.03260522144195797, 0.008495603323707766, 0.012096810944935091]",316517.632061975,142471.48350692532,"(14659.424916413545, [11012.980902676034, 1913.772311348333, 250.9259952763838, 1481.7457071127944])",452.1770427291277,2.00967574546279,235,10,225,184.02374627215,1514.9496952155728,0,147478.0,98.684,8.556632,0.257,,4.37e-11,3.38346399300894e-07,1.21091,3.0,1,0.0,4.507354017775668e-08
GRB050712A,1,"[1.3831587361034992, 0.7449105596668154]","[0.18235992325507105, 0.1118748653998142]",[1701.0412154912628],[0.6677304216858851],6760.035209269009,4407.831735433818,"(1420.6460441513211, [1420.6460441513211])",53.21961291802654,1.6631129036883294,36,4,32,26.312879221306048,-166.0796876006557,2,145581.0,51.356,7.868384,,,3.47e-11,4.271455668333704e-07,2.25846,3.0,0,5.759594154588866e-08,0.0
GRB050721A,1,"[1.6284713208522221, 0.9491350509788833]","[0.11649934952208094, 0.25567248858887887]",[2502.0424216158312],[0.4099582313957603],87599.3148806385,58878.00719246961,"(4038.9675669767475, [4038.9675669767475])",92.023586573026,1.4157474857388614,69,4,65,31.98837785610693,137.98381902502152,0,146970.0,104.7,46.10946,,,4.44e-11,4.758832697643611e-07,0.6199,3.0,1,0.0,2.7846409642525093e-07
GRB050820A,4,"[1.5481198626706068, 5.999999990570958, -0.21914635090949622, -0.04061036702677802, 1.1415335168707832]","[0.18246098783617007, nan, 0.23731868774874798, 0.3100466487620997, 0.024032133329186085]","[165.82383675771158, 195.79127850788896, 250.4616500289892, 5238.512335381981]","[0.031530835244583506, nan, 0.1125266736047204, 0.015568787228924776]",16502.004779333616,14381.79108545106,"(13818.579808408016, [738.7726919902168, 113.0790080903543, 125.42453734927734, 12841.303570978167])",433.3642921177095,1.2561283829498826,355,10,345,100.9521688841014,-453.1193272588988,1,151207.0,240.768,11.51344,2.6147,,3.43e-11,4.7171744182774693e-07,1.07032,4.0,5,4.763677633448396e-07,1.552701549194266e-07
GRB050713A,4,"[1.2903020463776262, 2.8981433053227263, 0.49562396713658097, 0.9993115260335061, 1.2179002523372102]","[0.05575782425200204, 0.8180176328248817, 0.08202078353509051, 0.20778206513435407, 0.4358307449619627]","[160.92347364352636, 337.1668014242686, 4333.6975844380395, 28058.448668736717]","[0.10835966741895495, 0.0572445595882425, 0.024729097691958683, 0.840623756193225]",12323.77099885054,2765.9789631400827,"(11660.389073999057, [2242.5733631685234, 1120.513927333955, 3604.726290147142, 4692.575493349436])",161.7760194967938,2.216109856120463,83,10,73,86.04752736258278,81.39524855081426,2,145675.0,124.672,62.40765,,,3.91e-11,5.079499346773509e-07,2.13021,4.0,3,1.6451063421079114e-07,1.0397989266415448e-06
GRB050726A,1,"[0.7210660794809604, 1.583719542938576]","[0.040507895458796205, 0.11625918237518118]",[3164.021233343725],[0.10503738589963077],251.56600178149836,53.77765096985372,"(5011.284843900125, [5011.284843900125])",101.50377143547018,1.3716725869658133,78,4,74,32.650407203791794,-48.212599493359946,1,147788.0,46.496,14.44798,0.1646,,3.4e-11,5.18521766054835e-07,1.69606,4.0,2,1.754186522627519e-08,6.982182697254248e-08
GRB050714B,3,"[1.6207026845990462, 5.999999999999974, 1.3146835633908582, 0.4248504420252221]","[0.19190259392992826, 1.2189483503492236, 0.7011739241053101, 0.2232592675324191]","[177.6233754462812, 279.4457089310321, 5616.993733943203]","[0.019118362812024503, 0.21488799369691516, 0.03057189983756077]",70140.98321661838,66690.42196928468,"(1408.3954871475494, [336.12185497181014, 504.8442060549521, 567.4294261207873])",65.25641086051422,3.4345479400270644,27,8,19,49.314903449539976,59.29772784303806,1,145994.0,49.364,11.29125,2.438,,2.2e-11,6.222364324184994e-07,0.41649,3.0,0,1.5549774579807358e-08,0.0
GRB050730A,4,"[1.546306501194168, -0.3, 0.9555553277066283, 2.4655977109848415, 3.0984521385142187]","[0.028967048397867307, nan, 0.11403414413559657, 0.062155052788016724, 3.7048041100393023]","[350.32997553857297, 2025.803574361094, 10224.404882172139, 115076.93733255428]","[0.1472482280739911, 0.14540651724282763, 0.014679252094790284, 0.029299488726042773]",62142.46392724989,8473.96184058709,"(79555.46866036009, [3206.2735379733554, 17113.538594667127, 41590.39884831478, 17645.25767940483])",500.7163289305844,1.3606421981809358,378,10,368,136.40766769324966,471.887482584948,4,148225.0,154.6,18.61522,3.9693,,4.1e-11,4.803943298164216e-07,0.7286,4.0,1,2.0996480845194966e-07,8.584733127054854e-09
GRB050716A,2,"[1.4024459924582655, 2.298488756077454, 1.114975534016839]","[0.03739686562320686, nan, 0.038883026168080564]","[249.79883936214247, 653.269987895034]","[nan, 0.008778564683329219]",27397.60412923444,4760.378443216607,"(4685.6902536092875, [3054.6492119132204, 1631.0410416960672])",108.89184345301796,1.2661842261978833,92,6,86,33.7127204942264,79.92685031245331,3,146227.0,69.02,5.288014,,,3.53e-11,5.105279392860285e-07,0.91238,2.0,12,4.342934116089178e-08,8.712185423565078e-07
GRB050904A,5,"[0.29640786383282297, 1.405283552480323, 5.999999999956061, 1.4954737833783156, -0.2999918370265533, 5.999962856189534]","[0.04081754798238729, 0.15085341548315395, nan, nan, 0.15063004670138166, 1.8452269886772283]","[190.0766373412093, 499.0918808126258, 612.3084763833948, 7776.956969707629, 36991.00641319801]","[0.039427680837785015, 0.010638874412017444, 0.015001203126613117, nan, 0.030942806679304914]",226.94053135332703,45.45688604574581,"(15462.972880170146, [1007.0818457153111, 7275.243250786037, 788.4676053650371, 3202.374348740093, 3189.8058295636683])",708.3031118374322,3.264069639803835,229,12,217,294.9012229250499,1307.8566835990282,5,153514.0,181.576,16.30626,6.295,,3.5499999999999994e-11,4.914254318347104e-07,0.63011,2.0,0,2.8914558067014576e-07,0.0
GRB051001A,2,"[0.7441600373704528, 3.2217315762354555, 0.4603516650485418]","[0.8973493540535161, 0.12021613577086512, 0.29009733181755126]","[248.00382374129586, 1887.39459264505]","[0.008242802642434233, 0.0973028913518068]",1960.028741641701,9553.21560197836,"(5473.151597528097, [1897.4475524686559, 3575.7040450594413])",148.67603084423104,1.1894082467538485,131,6,125,34.722724446778976,553.4518804943788,0,157870.0,190.26,22.85993,2.4296,,3.17e-11,4.863776419096339e-07,0.65639,3.0,2,0.0,1.5047661873922585e-08
GRB050922C,3,"[0.7199950324762324, 1.1060100321596844, 1.9784207534495726, 1.1773697306418058]","[nan, 0.04446277657382991, 0.4422563706336037, 0.14551982379940465]","[202.1119037869282, 5828.813368069831, 9946.645435951154]","[0.06643482773487548, 0.023058110959378014, 0.02020649327645017]",543.9837722441317,,"(8722.978896631937, [1220.0493987185716, 6802.012910398746, 700.9165875146196])",130.91282395122212,1.0730559340264108,130,8,122,25.16637682036638,198.664968745111,0,156467.0,4.552,0.4480179,2.1995,,3.04e-11,4.813193581852361e-07,0.43828,1.0,1,0.0,4.182563507648013e-07
GRB050915A,0,[0.905790446634572],[0.056118852902842464],[],[],170.78829176823513,79.91595319736338,"(0.0, [])",35.40076549380902,1.6857507378004295,23,2,21,16.010853144932355,-86.74272125012838,1,155242.0,53.42,11.27224,2.5273,,3.08e-11,4.905108568558933e-07,0.91711,3.0,3,1.1392855504292396e-08,6.357998040418676e-08
GRB050908A,0,[1.2096361424966884],[0.05506025230132733],[],[],975.1764466024784,402.6403248196659,"(0.0, [])",154.23063852443025,7.344316120210964,23,2,21,49.86031403290506,84.6107659748774,0,154112.0,18.284,3.28172,3.3467,,2.51e-11,5.371757881951324e-10,0.51249,3.0,1,0.0,8.201845678193623e-11
GRB050916A,0,[0.6668176109114089],[0.09798279434630505],[],[],10.06580250214222,8.365988110934993,"(0.0, [])",179.9286335910648,9.469928083740252,21,2,19,51.21054757415781,55.92621323504476,2,155408.0,85.184,12.7243,,,6.34e-11,3.325507772692572e-09,0.73421,3.0,0,6.08990292480209e-08,0.0
GRB050915B,3,"[2.0666168710493236, 5.789762729739605, 2.0467866454341634, 0.42631291590049625]","[0.37580743517284143, 0.6583292292334763, 0.6968771533008139, 0.12737557384401968]","[168.9086589697491, 304.16924680738515, 1003.3769952562218]","[0.01808788647346745, 0.06694113826005885, 0.15254873619705314]",903059.3907217355,1710812.9159277813,"(1365.8035928196532, [465.36013183253147, 745.7465392717561, 154.69692171536562])",67.27256329911543,1.7703306131346166,46,8,38,42.27365054634573,75.0504356523479,0,155284.0,43.096,4.405708,,,3.6499999999999997e-11,4.770623642641343e-07,0.31022,4.0,5,0.0,8.509473158371531e-07
GRB051111A,0,[1.5447639672690405],[0.14313408314847764],[],[],141969.7431588187,189902.7968797824,"(0.0, [])",20.876743662005143,0.6523982394376607,34,2,32,-10.521403632299128,-186.31846969374664,0,163438.0,64.0,16.0,1.54948,,3.1499999999999995e-11,4.72792747207312e-07,0.39476,4.0,3,0.0,7.452191114275735e-07
GRB051210A,1,"[1.2236430140857941, 3.8617121197176276]","[0.5297688137042366, 0.6721941762789118]",[188.2730495196234],[0.08455869059466292],2597.81301454545,6615.334039662503,"(648.1329599934157, [648.1329599934157])",23.937417215255564,1.7098155153753976,18,4,14,17.654938621083822,66.8263279985722,0,171931.0,1.3,0.2951948,,,4.57e-11,3.2974988870626646e-10,0.99065,5.0,1,0.0,1.0871792291718298e-11
GRB051109A,1,"[0.6756798188685018, 1.1614740064176643]","[0.037524402591036524, 0.0542349539328884]",[6942.483659810669],[0.11756496210214454],258.303760519132,67.77760068817079,"(10177.902378861658, [10177.902378861658])",214.3478827466103,1.468136183195961,150,4,146,65.59905406014701,-242.9287779120679,0,163136.0,37.2,6.069085,2.346,,3.6499999999999997e-11,5.573513345522328e-07,0.85764,3.0,1,0.0,3.330352577823547e-07
GRB051221A,4,"[1.0306966252309986, 2.7462294587687626, 1.1219571662438457, -0.015461824335589543, 0.9170158517039729]","[0.40210083999300494, 1.6275217888483438, 0.25836854121913133, 0.8402118978594886, 0.2154648347897084]","[249.43121919545538, 390.79291791544495, 4099.338536091103, 14614.903052245238]","[0.11196881362199423, 0.150627525557683, 0.30518116157794545, 0.2170874346321701]",718.9944702676686,1455.2587080211329,"(1882.05801512202, [586.8640141009379, 188.88700927085114, 566.2693517719324, 540.0376399782986])",47.92482215644639,0.8407863536218665,67,10,57,8.381014784606085,-199.87560131602476,0,173780.0,1.392,0.1974639,0.5464,,3.49e-11,2.612794877753574e-09,0.6405,5.0,2,0.0,1.3374229976778127e-09
GRB051021B,1,"[1.1009435758929649, 1.9489556362303329]","[0.8115718680137567, 0.16105777335010638]",[148.89397768161652],[0.015439376435270876],762.8715959500189,2949.480096005934,"(245.72750232026254, [245.72750232026254])",5.703438392938167,0.5703438392938167,14,4,10,0.1387777753336454,-3.145181895834797,0,160672.0,46.512,11.42952,,,6.29e-11,4.878355723340174e-07,1.5428,3.0,1,0.0,7.80684232334302e-08
